"","index","env","n","binom.raw.P","binom.raw.est","binom.bay.P","binom.bay.est","binom.raw.sig","binom.bay.sig","Group"
"1",1,"LAT_raw_p",257,-0.21,0.48,-0.15,0.49,FALSE,FALSE,"None"
"2",2,"LONG_raw_p",715,-91.35,0.86,-77.85,0.84,TRUE,TRUE,"Freezing"
"3",3,"ELEVATION_raw_p",163,-8.01,0.72,-9.81,0.75,TRUE,TRUE,"Freezing"
"4",4,"MAT_raw_p",140,-41.84,1,-41.84,1,TRUE,TRUE,"Freezing"
"5",5,"MWMT_raw_p",0,NA,NA,NA,NA,NA,NA,"None"
"6",6,"MCMT_raw_p",241,-72.25,1,-72.25,1,TRUE,TRUE,"Freezing"
"7",7,"TD_raw_p",237,-71.04,1,-71.04,1,TRUE,TRUE,"Freezing"
"8",8,"MAP_raw_p",4,NA,NA,NA,NA,NA,NA,"None"
"9",9,"MSP_raw_p",198,-55.01,0.01,-55.01,0.01,TRUE,TRUE,"Aridity"
"10",10,"AHM_raw_p",285,-85.49,0,-85.49,0,TRUE,TRUE,"Aridity"
"11",11,"SHM_raw_p",172,-31.32,0.08,-31.32,0.08,TRUE,TRUE,"Aridity"
"12",12,"DD_0_raw_p",237,-66.59,0.99,-66.59,0.99,TRUE,TRUE,"Freezing"
"13",13,"DD5_raw_p",22,-6.32,1,-6.32,1,TRUE,TRUE,"Freezing"
"14",14,"NFFD_raw_p",54,-15.95,1,-15.95,1,TRUE,TRUE,"Freezing"
"15",15,"bFFP_raw_p",0,NA,NA,NA,NA,NA,NA,"None"
"16",16,"eFFP_raw_p",74,-21.98,1,-21.98,1,TRUE,TRUE,"Freezing"
"17",17,"FFP_raw_p",9,-2.41,1,-2.41,1,FALSE,FALSE,"None"
"18",18,"PAS_raw_p",0,NA,NA,NA,NA,NA,NA,"None"
"19",19,"EMT_raw_p",270,-80.98,1,-80.98,1,TRUE,TRUE,"Freezing"
"20",20,"EXT_raw_p",192,-25.43,0.14,-25.43,0.14,TRUE,TRUE,"Aridity"
"21",21,"Eref_raw_p",311,-42.59,0.13,-42.59,0.13,TRUE,TRUE,"Aridity"
"22",22,"CMD_raw_p",333,-61.36,0.08,-61.36,0.08,TRUE,TRUE,"Aridity"
